id,user_id,query,date,time
207,1,шапка зимний,2021-02-11,14:32:11
208,1,шапка зимний,2021-02-11,13:32:11
209,1,шапка зимний,2021-02-11,12:32:11
210,1,шапка зимний,2021-02-11,13:32:11
211,1,шапка зимний,2021-02-11,10:32:11
212,1,шапка зимний,2021-02-11,21:32:11
213,1,шапка зимний,2021-02-11,17:32:11
214,1,шапка зимний,2021-02-11,19:32:11
215,1,шапка зимний,2021-02-11,18:32:11
216,1,шапка зимний,2021-02-11,17:32:11
217,1,шапка зимний,2021-02-11,15:32:11
218,1,шапка зимний,2021-02-11,01:32:11
219,1,шапка зимний,2021-02-11,02:32:11
220,1,шапка зимний,2021-02-11,05:32:11
221,1,шапка зимний,2021-02-11,10:32:11
222,1,шапка зимний,2021-02-11,11:32:11
223,1,шапка зимний,2021-02-11,11:32:11
224,1,шапка зимний,2021-02-11,08:32:11
225,1,шапка зимний,2021-02-11,00:32:11
226,1,шапка зимний,2021-02-11,21:32:11
227,1,шапка зимний,2021-02-11,21:32:11
228,1,шапка зимний,2021-02-11,22:32:11
229,1,шапка зимний,2021-02-11,22:32:11
230,1,шапка зимний,2021-02-11,22:32:11
231,1,шапка зимний,2021-02-11,10:32:11
232,1,шапка зимний,2021-02-11,22:32:11
233,1,шапка зимний,2021-02-11,22:32:11
234,1,шапка зимний,2021-02-11,10:32:11
235,1,шапка зимний,2021-02-11,21:32:11
236,1,шапка зимний,2021-02-11,19:32:11
237,1,шапка зимний,2021-02-11,20:32:11
238,1,шапка зимний,2021-02-11,20:32:11
239,1,ветровка,2021-03-11,21:32:11
240,1,ветровка,2021-03-11,22:32:11
241,1,ветровка,2021-03-11,22:32:11
242,1,ветровка,2021-03-11,01:32:11
243,1,ветровка,2021-03-11,14:32:11
244,1,ветровка,2021-03-11,13:32:11
245,1,ветровка,2021-03-11,14:32:11
246,1,ветровка,2021-03-11,15:32:11
247,1,ветровка,2021-03-11,11:32:11
248,1,ветровка,2021-03-11,11:32:11
249,1,ветровка,2021-03-11,10:32:11
250,1,ветровка,2021-03-11,09:32:11
251,1,ветровка,2021-03-11,21:32:11
252,1,ветровка,2021-03-11,22:32:11
253,1,ветровка,2021-03-11,19:32:11
254,1,ветровка,2021-03-11,10:32:11
255,1,ветровка,2021-03-11,19:32:11
256,1,ветровка,2021-03-11,10:32:11
257,1,ветровка,2021-03-11,10:32:11
258,1,ветровка,2021-03-11,18:32:11
259,1,ветровка,2021-03-11,15:32:11
260,1,ветровка,2021-03-11,18:32:11
261,1,ветровка,2021-03-11,18:32:11
262,1,ветровка,2021-03-11,15:32:11
263,1,ветровка,2021-03-11,14:32:11
264,1,ветровка,2021-03-11,00:32:11
265,1,ветровка,2021-03-11,00:32:11
266,1,ветровка,2021-03-11,14:32:11
267,1,ветровка,2021-03-11,15:32:11
268,1,ветровка,2021-03-11,16:32:11
269,1,ветровка,2021-03-11,16:32:11
270,1,ветровка,2021-03-11,16:32:11
271,1,ветровка,2021-03-11,16:32:11
272,1,ветровка,2021-03-11,15:32:11
273,1,ветровка,2021-03-11,10:32:11
274,1,ветровка,2021-03-11,17:32:11
275,1,ветровка,2021-03-11,17:32:11
276,1,ветровка,2021-02-11,21:32:11
277,1,ветровка,2021-01-11,21:32:11
278,1,ветровка,2021-02-11,21:32:11
279,1,ветровка,2021-02-11,21:32:11
280,1,ветровка,2021-01-11,21:32:11
281,1,ветровка,2021-01-11,21:32:11
282,1,ветровка,2021-01-11,21:32:11
283,1,ветровка,2021-02-11,21:32:11
284,1,ветровка,2021-01-11,21:32:11
285,1,ветровка,2021-02-11,21:32:11
286,1,ветровка,2021-02-11,21:32:11
287,1,ветровка,2021-01-11,21:32:11
288,1,ветровка,2021-01-11,21:32:11
289,1,ветровка,2021-01-11,21:32:11
290,1,ветровка,2021-02-11,21:32:11
291,1,ветровка,2021-01-11,21:32:11
292,1,ветровка,2021-02-11,21:32:11
293,1,ветровка,2021-02-11,21:32:11
294,1,ветровка,2021-01-11,21:32:11
295,1,ветровка,2021-01-11,21:32:11
296,1,ветровка,2021-01-11,21:32:11
297,1,ветровка,2021-05-11,21:32:11
298,1,ветровка,2021-03-11,21:32:11
299,1,ветровка,2021-04-11,21:32:11
300,1,ветровка,2021-05-11,21:32:11
301,1,ветровка,2021-04-11,21:32:11
302,1,ветровка,2021-05-11,21:32:11
303,1,ветровка,2021-04-11,21:32:11
304,1,ветровка,2021-05-11,21:32:11
305,1,ветровка,2021-03-11,21:32:11
306,1,ветровка,2021-04-11,21:32:11
307,1,ветровка,2021-05-11,21:32:11
308,1,ветровка,2021-04-11,21:32:11
309,1,ветровка,2021-05-11,21:32:11
310,1,ветровка,2021-04-11,21:32:11
311,1,ветровка,2021-05-11,21:32:11
312,1,ветровка,2021-03-11,21:32:11
313,1,ветровка,2021-04-11,21:32:11
314,1,ветровка,2021-05-11,21:32:11
315,1,ветровка,2021-04-11,21:32:11
316,1,ветровка,2021-05-11,21:32:11
317,1,ветровка,2021-04-11,21:32:11
318,1,ветровка,2021-05-11,21:32:11
319,1,ветровка,2021-03-11,21:32:11
320,1,ветровка,2021-04-11,21:32:11
321,1,ветровка,2021-05-11,21:32:11
322,1,ветровка,2021-04-11,21:32:11
323,1,ветровка,2021-05-11,21:32:11
324,1,ветровка,2021-04-11,21:32:11
325,1,ветровка,2021-06-11,14:32:11
326,1,ветровка,2021-05-11,15:32:11
327,1,ветровка,2021-06-11,19:32:11
328,1,ветровка,2021-05-11,18:32:11
329,1,ветровка,2021-06-11,18:32:11
330,1,ветровка,2021-05-11,17:32:11
331,1,ветровка,2021-05-11,10:32:11
332,1,ветровка,2021-06-11,19:32:11
333,1,ветровка,2021-09-11,20:32:11
334,1,ветровка,2021-10-11,15:32:11
335,1,ветровка,2021-11-11,19:32:11
336,1,ветровка,2021-10-11,18:32:11
337,1,ветровка,2021-09-11,18:32:11
338,1,ветровка,2021-10-11,17:32:11
339,1,ветровка,2021-09-11,21:32:11
340,1,ветровка,2021-11-11,19:32:11
341,1,ветровка,2021-09-11,20:32:11
342,1,ветровка,2021-10-11,15:32:11
343,1,ветровка,2021-11-11,19:32:11
344,1,ветровка,2021-10-11,18:32:11
345,1,ветровка,2021-09-11,18:32:11
346,1,ветровка,2021-10-11,17:32:11
347,1,ветровка,2021-09-11,21:32:11
348,1,ветровка,2021-11-11,19:32:11
349,1,ветровка,2021-09-11,20:32:11
350,1,ветровка,2021-10-11,15:32:11
351,1,ветровка,2021-11-11,19:32:11
352,1,ветровка,2021-10-11,18:32:11
353,1,ветровка,2021-09-11,18:32:11
354,1,ветровка,2021-10-11,17:32:11
355,1,ветровка,2021-09-11,21:32:11
356,1,ветровка,2021-11-11,19:32:11
357,1,ветровка,2021-09-11,20:32:11
358,1,ветровка,2021-10-11,15:32:11
359,1,ветровка,2021-11-11,19:32:11
360,1,ветровка,2021-10-11,18:32:11
361,1,ветровка,2021-09-11,18:32:11
362,1,ветровка,2021-10-11,17:32:11
363,1,ветровка,2021-09-11,21:32:11
364,1,ветровка,2021-11-11,19:32:11
365,1,ветровка,2021-09-11,20:32:11
366,1,ветровка,2021-10-11,15:32:11
367,1,ветровка,2021-11-11,19:32:11
368,1,ветровка,2021-10-11,18:32:11
369,1,ветровка,2021-09-11,18:32:11
370,1,ветровка,2021-10-11,17:32:11
371,1,ветровка,2021-09-11,21:32:11
372,1,ветровка,2021-11-11,19:32:11
373,1,ветровка,2021-09-11,20:32:11
374,1,ветровка,2021-10-11,15:32:11
375,1,ветровка,2021-11-11,19:32:11
376,1,ветровка,2021-10-11,18:32:11
377,1,ветровка,2021-09-11,18:32:11
378,1,ветровка,2021-10-11,17:32:11
379,1,ветровка,2021-09-11,21:32:11
380,1,ветровка,2021-11-11,19:32:11
381,1,ветровка,2021-09-11,20:32:11
382,1,ветровка,2021-10-11,15:32:11
383,1,ветровка,2021-11-11,19:32:11
384,1,ветровка,2021-10-11,18:32:11
385,1,ветровка,2021-09-11,18:32:11
386,1,ветровка,2021-10-11,17:32:11
387,1,ветровка,2021-09-11,21:32:11
388,1,ветровка,2021-11-11,19:32:11
389,1,ветровка,2021-12-11,20:32:11
390,1,ветровка,2021-12-11,15:32:11
391,1,ветровка,2021-01-11,19:32:11
392,1,ветровка,2021-02-11,18:32:11
393,1,ветровка,2021-01-11,18:32:11
394,1,ветровка,2021-02-11,17:32:11
395,1,ветровка,2021-01-11,21:32:11
396,1,ветровка,2021-01-11,19:32:11
397,1,ветровка,2021-12-11,20:32:11
398,1,ветровка,2021-12-11,15:32:11
399,1,ветровка,2021-01-11,19:32:11
400,1,ветровка,2021-02-11,18:32:11
401,1,ветровка,2021-01-11,18:32:11
402,1,ветровка,2021-02-11,17:32:11
403,1,ветровка,2021-01-11,21:32:11
404,1,ветровка,2021-01-11,19:32:11
405,1,ветровка,2021-12-11,20:32:11
406,1,ветровка,2021-12-11,15:32:11
407,1,ветровка,2021-01-11,19:32:11
408,1,ветровка,2021-02-11,18:32:11
409,1,ветровка,2021-01-11,18:32:11
410,1,ветровка,2021-02-11,17:32:11
411,1,ветровка,2021-01-11,21:32:11
412,1,ветровка,2021-01-11,19:32:11
413,1,футболка,2021-12-11,14:32:11
414,1,футболка,2021-12-11,15:32:11
415,1,футболка,2021-01-11,16:32:11
416,1,футболка,2021-02-11,12:32:11
417,1,футболка,2021-01-11,18:32:11
418,1,футболка,2021-02-11,17:32:11
419,1,футболка,2021-01-11,21:32:11
420,1,футболка,2021-01-11,19:32:11
421,1,футболка,2021-12-11,14:32:11
422,1,футболка,2021-12-11,15:32:11
423,1,футболка,2021-01-11,16:32:11
424,1,футболка,2021-02-11,12:32:11
425,1,футболка,2021-01-11,18:32:11
426,1,футболка,2021-02-11,17:32:11
427,1,футболка,2021-01-11,21:32:11
428,1,футболка,2021-01-11,19:32:11
